date,stock_id,stock_name,trade_volume,trade_value,open_price,high_price,low_price,close_price,price_change,transaction_count
2026-01-26,9136,巨騰-DR,156300,1277300,8.21,8.23,8.08,8.23,0.17,89
2026-01-26,9802,鈺齊-KY,1814501,173405547,95.5,96.3,95.3,95.8,-1.2,1940
2026-01-26,9902,台火,529220,9530499,17.7,18.15,17.7,17.95,0.3,380
2026-01-26,9904,寶成,8668576,270666838,31.2,31.45,30.7,31.4,0.5,3470
2026-01-26,9905,大華,58246,1167758,20.05,20.1,20.0,20.05,-0.05,49
2026-01-26,9906,欣巴巴,120556,5526586,46.35,46.35,45.5,46.1,0.1,166
2026-01-26,9907,統一實,1703784,32038622,18.95,18.95,18.7,18.7,0.05,883
2026-01-26,9908,大台北,354940,10554155,29.8,29.8,29.7,29.7,-0.1,273
2026-01-26,9910,豐泰,2979729,287055292,98.8,98.8,95.2,96.0,-2.8,2835
2026-01-26,9911,櫻花,173126,14595037,84.9,84.9,84.1,84.2,-0.5,297
2026-01-26,9912,偉聯,34579,415247,12.0,12.2,11.9,12.05,0.05,151
2026-01-26,9914,美利達,2869675,250954050,89.0,89.0,86.5,87.6,-1.2,2110
2026-01-26,9917,中保科,822776,87268168,107.0,107.0,105.5,106.0,-0.5,1063
